English,Episodes,Genres,Personal score,Score,Source,Studios,Type
"Love, Chunibyo & Other Delusions!: Rikka Version",1,Comedy,7,7.38,Light novel,Kyoto Animation,Movie
Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite,1,Comedy,0,7.26,Light novel,Kyoto Animation,Special
Tamako Love Story,1,Comedy,9,8.11,Original,Kyoto Animation,Movie
Tamako Market,12,Slice of Life,8,7.37,Original,Kyoto Animation,TV
Tamako Market Specials,6,Comedy,4,6.31,Original,Kyoto Animation,Special
Tari Tari,13,Music,8,7.41,Original,P.A. Works,TV
Dusk Maiden of Amnesia,12,Horror,7,7.94,Manga,Silver Link.,TV
Dusk Maiden of Amnesia: Ghost Girl,1,Horror,6,7.56,Manga,Silver Link.,Special
Tekken: Blood Vengeance,1,Action,5,6.77,Game,add some,Movie
Gurren Lagann,27,Action,10,8.74,Original,Gainax,TV
Tengen Toppa Gurren Lagann Movie: Lagann-hen Special - Viral no Amai Yume,1,Comedy,5,7.43,Original,Gainax,OVA
Tengen Toppa Gurren Lagann: Kirameki★Yoko Box - Pieces of Sweet Stars,1,Ecchi,7,7.20,Original,Gainax,Music
Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!,1,Action,8,7.46,Original,Gainax,Special
Tengen Toppa Gurren Lagann: Ore no Gurren wa Pikka-Pika!!,1,Action,6,6.90,Original,Gainax,OVA
Castle in the Sky,1,Adventure,0,8.38,Novel,Studio Ghibli,Movie
Angel's Drop,1,Comedy,0,3.75,Web manga,AIC Frontier,Special
Angel's Egg,1,Fantasy,7,7.61,Original,Studio Deen,OVA
The Last: Naruto the Movie,1,Action,7,7.88,Manga,Studio Pierrot,Movie
A Certain Scientific Railgun,24,Action,7,7.83,Manga,J.C.Staff,TV
Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.,1,Comedy,5,6.91,Manga,J.C.Staff,OVA
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desukara,1,Action,7,7.54,Manga,J.C.Staff,OVA
Toaru Kagaku no Railgun: Motto Marutto Railgun,2,Comedy,4,6.94,Manga,J.C.Staff,Special
A Certain Magical Index,24,Action,9,7.64,Light novel,J.C.Staff,TV
A Certain Magical Index II,24,Action,8,7.80,Light novel,J.C.Staff,TV
A Certain Magical Index: Specials,2,Comedy,6,7.08,Unknown,J.C.Staff,Special
A Certain Magical Index II: Specials,2,Comedy,5,7.09,Unknown,J.C.Staff,Special
The Girl Who Leapt Through Time,1,Sci-Fi,7,8.37,Novel,Madhouse,Movie
Tokyo Ghoul,12,Action,7,8.01,Manga,Studio Pierrot,TV
Tokyo Ghoul √A,12,Action,6,7.46,Manga,Studio Pierrot,TV
Tokyo Godfathers,1,Comedy,8,8.31,Original,Madhouse,Movie
My Little Monster,13,Slice of Life,8,7.72,Manga,Brain's Base,TV
Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,1,Comedy,5,7.25,Manga,Brain's Base,OVA
Tonari no Seki-kun OVA,1,Comedy,7,7.47,Unknown,Shin-Ei Animation,OVA
My Neighbor Totoro,1,Adventure,0,8.45,Original,Studio Ghibli,Movie
Toradora!,25,Slice of Life,10,8.40,Light novel,J.C.Staff,TV
Toradora!: Bento Battle,1,Slice of Life,6,7.52,Light novel,J.C.Staff,Special
Toradora! SOS! Hooray for Foodies,4,Comedy,4,6.41,Unknown,J.C.Staff,Special
Trinity Seven,12,Action,6,7.42,Manga,Seven Arcs Pictures,TV
Trinity Seven OVA,1,Action,5,7.53,Manga,Seven Arcs Pictures,OVA
True Tears,13,Drama,10,7.50,Original,P.A. Works,TV
True Tears Epilogue,1,Romance,0,6.74,Original,P.A. Works,Music
True Tears Specials,7,Parody,3,6.39,Original,P.A. Works,Special
True Tears: Raigomaru to Jibeta no Monogatari,1,Kids,4,6.26,Original,P.A. Works,Special
Tsuki ga Kirei,NaN,NaN,9,NaN,NaN,NaN,NaN
Tsukigakirei: First Half - The Road So Far,1,Romance,6,6.52,Original,feel.,Special
Tsuki no Sango,1,Drama,0,6.18,Other,ufotable,Movie
Tsuredure Children,12,Comedy,8,7.91,4-koma manga,Studio Gokumi,TV
The Eccentric Family,13,Slice of Life,8,7.96,Novel,P.A. Works,TV
Umineko: When They Cry,26,Mystery,6,7.29,Visual novel,Studio Deen,TV
Under the Dog,1,Action,7,6.42,Original,Kinema Citrus,OVA
Bunny Drop,11,Josei,8,8.53,Manga,Production I.G,TV
Usagi Drop Specials,4,Josei,8,8.05,Manga,Production I.G,Special
Utopia,1,Music,0,6.53,Original,P.A. Works,Music
"WataMote: No Matter How I Look At It, It's You Guys' Fault I'm Unpopular!",12,Slice of Life,6,7.24,Web manga,Silver Link.,TV
Wonder Momo,5,Action,3,3.77,Game,Graphinica,ONA
Wagnaria!!,13,Slice of Life,9,7.80,4-koma manga,A-1 Pictures,TV
Wagnaria!!3,13,Comedy,9,8.14,4-koma manga,A-1 Pictures,TV
Working!!!: Lord of the Takanashi,1,Slice of Life,8,8.30,4-koma manga,A-1 Pictures,Special
Wagnaria!!2,13,Slice of Life,8,7.96,4-koma manga,A-1 Pictures,TV
Wagnaria'!! Announcement Specials,2,Comedy,0,6.83,4-koma manga,A-1 Pictures,ONA
WWW.WAGNARIA!!,13,Slice of Life,7,7.56,Web manga,A-1 Pictures,TV
My Teen Romantic Comedy SNAFU,13,Slice of Life,9,8.11,Light novel,Brain's Base,TV
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,1,Comedy,6,7.63,Light novel,Brain's Base,OVA
My Teen Romantic Comedy SNAFU TOO!,13,Comedy,7,8.29,Light novel,feel.,TV
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,1,Comedy,8,8.21,Light novel,feel.,OVA
Encouragement of Climb,12,Adventure,8,6.82,Manga,8bit,TV
Yama no Susume: Kabe tte Kowakunai no?,1,Slice of Life,7,6.74,Manga,8bit,Special
"If I don't successfully pick up 420 girls, I am going to die in a lot of different ways.",1,Comedy,0,5.97,Light novel,Trigger,Special
Yosuga no Sora,12,Drama,5,6.62,Visual novel,feel.,TV
Classroom of the Elite,12,Drama,8,7.92,Light novel,Lerche,TV
YuruYuri: Happy Go Lily,12,Comedy,8,7.68,Manga,Doga Kobo,TV
"YuruYuri: For Whatever Reason, Never Ending, Heart Throbbing, Pitter-patter, Paradox Eternal",1,Comedy,0,6.22,Unknown,Doga Kobo,Special
YuruYuri: Happy Go Lily ♪♪,12,Slice of Life,9,7.92,Manga,Doga Kobo,TV
Zan Sayonara Zetsubou Sensei,13,Parody,6,7.98,Manga,Shaft,TV
Zan Sayonara Zetsubou Sensei Bangaichi,2,Comedy,6,7.89,Manga,Shaft,OVA
Terror in Resonance,11,Mystery,8,8.22,Original,MAPPA,TV
Zekkyou Gakkyuu,3,Shoujo,0,5.47,Manga,add some,Special
The Familiar of Zero,13,Action,6,7.55,Light novel,J.C.Staff,TV
The Familiar of Zero F,12,Adventure,4,7.72,Light novel,J.C.Staff,TV
The Familiar of Zero: Knight of the Twin Moons,12,Action,8,7.68,Light novel,J.C.Staff,TV
The Familiar of Zero: Rondo of Princesses,12,Action,7,7.57,Light novel,J.C.Staff,TV
The Familiar of Zero: Rondo of the Princesses OVA,1,Comedy,6,7.39,Unknown,J.C.Staff,Special
Zero no Tsukaima: Princesses no Rondo Picture Drama,7,Action,5,7.05,Unknown,J.C.Staff,Special
Zoku Sayonara Zetsubou Sensei,13,Comedy,6,8.00,Manga,Shaft,TV
